Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,153.49289617486338,165.34931506849315,176.69671232876712,206.8068493150685,85.19153005464482,221.5005479452055,173.13561643835615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185.6469589041096,179.64953424657534,319.00013698630136,87.03575342465753,134.7846174863388,77.8963287671233,189.26920547945207,216.03520547945206,93.66245901639344,122.57397260273974,55.22383561643836,99.0164383561644
Std,570.3178529488258,501.8489379007727,588.93106505469,557.9807873966378,260.13846283526163,666.4225310287111,607.5409948555731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,635.6760566556462,357.22222782096316,807.2049715635848,329.0385620891458,485.77203727082986,243.8607596536409,477.99784524037057,433.25950048032945,314.30415324310593,523.8610624916719,211.29167244207764,474.7121846581686
CV,3.715597706222859,3.035083258088431,3.3330052228640645,2.698076921749138,3.053571906366745,3.0086721554908737,3.5090468810147115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.4241124142732966,1.988439487578426,2.5304220217254896,3.780498808159085,3.6040614005531135,3.130580908153968,2.5254918993796074,2.005504146968946,3.3557110985960157,4.273836046658103,3.826095563329232,4.7942765114477055
SP_Tim,71.0,47.0,50.0,108.0,27.0,10.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,88.0,106.0,57.0,38.0,66.0,29.0,87.0,91.0,360.0,95.0,357.0
SP_Mag,3290.0,3740.0,2580.0,1900.0,711.0,4910.0,2830.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2770.0,931.0,5350.0,861.0,2210.0,1200.0,4990.0,2880.0,3760.0,4960.0,482.0,1660.0
SP_Dur,60.0,85.0,59.0,50.0,31.0,130.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,106.0,32.0,39.0,55.0,93.0,137.0,37.0,59.0,45.0,55.0,86.0
SP_ROC,0.06521739130434782,0.08017857142857143,0.09482758620689655,0.06521739130434782,0.06451612903225806,0.08860759493670886,0.08823529411764706,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07239616246337677,0.05263157894736842,0.06382978723404255,0.06504065040650407,0.06257242178447267,0.057034220532319393,0.12094772304146104,0.07392473118279569,0.06306306306306306,0.06099999999999994,0.0576330992493168,0.05175600739371542
SU_BFL_Tim,131.0,132.0,109.0,158.0,58.0,140.0,95.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.0,194.0,138.0,96.0,93.0,159.0,166.0,124.0,150.0,40.0,150.0,78.0
SU_BFL_Mag_10,1.4,0.95,0.6,2.1,0.6,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5800000000000002,2.6489999999999996,1.91,0.0,0.0,0.598,2.382,2.81,0.407,0.21,0.402,0.0
SU_BFL_Mag_50,4.0,3.05,16.0,15.0,9.3,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.92,7.23,7.96,4.574999999999999,5.5649999999999995,6.73,23.8,14.6,2.4,2.045,1.77,1.89
SU_BFL_Dur_Fl,205.0,199.0,177.0,151.0,257.0,179.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.0,209.0,257.0,267.0,193.0,132.0,262.0,175.0,nan,nan,nan
SU_BFL_Dur_Wet,259.0,266.0,282.0,220.0,292.0,220.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245.0,160.0,261.0,260.0,316.0,219.0,247.0,311.0,178.0,360.0,187.0,259.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,0.0,0.0,30.0,64.0,0.0,0.0,0.0,0.0,23.0,0.0,57.0
FAFL_Tim,nan,336.0,329.0,285.0,308.0,315.0,317.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,340.0,nan,335.0,346.0,352.0,360.0,350.0,297.0,20.0,325.0,nan,nan
FAFL_Mag,nan,3499.8311263164446,1209.9687036372268,2629.8859424540174,431.9499939768303,1399.9510906598232,1759.948397021457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1099.9936125935917,nan,1669.9342859102082,523.9537826995097,1519.9089875469351,924.9238303881831,656.9613662598497,1719.8471392562815,1239.9878814702759,911.9929368330406,nan,nan
FAFL_Tim_Wet,23.0,25.0,31.0,25.0,12.0,350.0,358.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,344.0,341.0,352.0,33.0,355.0,44.0,11.0,47.0,69.0,328.0,33.0,336.0
FAFL_Dur,nan,3.0,3.0,8.0,3.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,5.0,3.0,2.0,6.0,10.0,2.0,7.0,nan,nan
Wet_BFL_Mag,25.099999999999998,31.0,33.5,18.0,38.3,49.8,40.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.17999999999999,80.57000000000001,57.85,25.85,75.7,9.66,39.43,49.34,36.8,37.24000000000001,27.880000000000003,239.0
WIN_Tim_2,38.0,30.0,52.0,63.0,327.0,361.0,15.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.5,68.0,58.0,17.5,26.0,54.0,21.5,29.0,55.0,345.0,39.0,8.5
WIN_Dur_2,4.0,2.0,1.5,1.0,1.0,4.0,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.5,4.0,2.0,1.0
WIN_Fre_2,3.0,5.0,4.0,6.0,3.0,3.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,4.0,9.0,2.0,5.0,1.0,2.0,8.0,2.0,2.0,1.0,4.0
WIN_Tim_5,50.0,30.0,38.0,43.0,354.0,51.5,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,59.0,62.0,47.5,8.0,54.0,55.0,360.0,80.0,345.0,73.5,345.0
WIN_Dur_5,2.0,5.0,3.0,3.0,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.5,3.0,1.0,2.0
WIN_Fre_5,6.0,5.0,7.0,9.0,4.0,6.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,11.0,13.0,4.0,7.0,5.0,9.0,7.0,4.0,4.0,4.0,5.0
WIN_Tim_10,44.0,52.0,39.5,56.0,323.0,24.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,365.0,65.0,21.0,24.0,29.0,54.0,57.0,21.5,73.0,344.5,62.0,345.0
WIN_Dur_10,4.0,6.0,3.5,4.0,3.0,4.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,4.5,8.0,4.5,6.5,4.0,3.5,5.0,5.0,5.5,3.0,6.0
WIN_Fre_10,6.0,6.0,6.0,8.0,5.0,7.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,9.0,4.0,4.0,5.0,10.0,8.0,5.0,4.0,5.0,3.0
WIN_Tim_20,69.5,350.0,13.0,28.5,350.0,354.0,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,50.0,352.0,17.0,3.0,35.0,1.0,325.0,60.0,13.0,67.5,4.0
WIN_Dur_20,14.5,12.0,8.5,4.0,6.0,5.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,10.0,58.0,3.5,13.0,2.5,2.0,2.0,7.0,1.5,9.0,20.0
WIN_Fre_20,4.0,5.0,4.0,8.0,6.0,9.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,7.0,3.0,6.0,5.0,6.0,9.0,7.0,5.0,4.0,4.0,2.0
WIN_Tim_50,8.0,340.0,54.5,330.0,27.5,306.0,316.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,323.5,316.0,311.0,330.0,338.0,354.5,310.0,296.0,323.0,67.0,37.0,333.0
WIN_Dur_50,52.0,8.0,92.5,25.0,2.0,6.0,192.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.5,2.0,2.0,3.0,7.0,18.0,2.0,254.0,3.0,5.5,97.0,4.0
WIN_Fre_50,3.0,4.0,2.0,3.0,6.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,5.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,4.0,1.0,3.0
